cod_provin,provincia,cod_canton,canton,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020
2,Alajuela,201,Alajuela,9,12,13,15,18,22,25,26,28,35,36,45,46,53,55,55,58,61,61,62,65,66,66,67,67
1,San Jose,101,San Jose,3,4,6,10,14,13,12,17,17,18,21,23,26,29,32,33,36,42,44,46,51,53,59,62,62
1,San Jose,109,Santa Ana,2,2,3,3,3,6,7,11,14,13,14,16,16,16,19,19,22,24,25,26,26,28,28,28,28
1,San Jose,103,Desamparados,4,4,4,4,4,5,4,4,5,5,7,8,12,11,13,13,15,17,18,19,21,21,23,23,27
2,Alajuela,210,San Carlos,0,0,0,0,0,2,2,2,3,5,5,6,8,8,8,10,8,9,11,10,11,16,17,19,22
1,San Jose,102,Escazu,4,5,5,6,9,11,11,11,11,13,13,13,14,16,17,18,19,18,18,18,18,19,19,19,19
1,San Jose,113,Tibas,1,1,1,1,1,1,2,3,5,6,10,12,11,11,12,12,12,13,12,15,15,16,16,17,17
4,Heredia,401,Heredia,1,1,1,1,4,4,4,4,6,7,9,9,9,9,9,9,11,13,15,15,15,16,16,16,16
1,San Jose,118,Curridabat,0,0,1,2,3,5,5,5,5,5,5,5,7,8,8,10,11,12,14,14,14,14,14,15,15
2,Alajuela,203,Grecia,2,2,3,3,3,5,5,5,5,7,7,9,11,13,13,13,13,14,14,14,14,14,14,14,14
1,San Jose,115,Montes de Oca,0,0,0,0,0,2,3,3,3,3,5,5,5,8,8,8,8,9,9,9,9,9,11,12,14
1,San Jose,108,Goicoechea,0,0,0,1,1,1,0,0,7,7,8,8,9,10,10,10,11,10,11,10,11,11,11,12,13
1,San Jose,114,Moravia,0,0,0,1,1,3,4,5,6,6,6,6,7,8,8,8,8,9,10,10,11,11,11,12,12
4,Heredia,409,San Pablo,1,1,1,1,3,3,3,4,4,4,4,4,5,5,7,8,9,9,9,10,12,12,12,12,12
3,Cartago,301,Cartago,0,0,1,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,8,7,7,8,9,11
2,Alajuela,207,Palmares,0,0,0,0,0,0,0,0,1,1,1,1,1,5,6,5,6,6,7,7,8,10,11,11,11
3,Cartago,303,La Union,1,1,1,2,2,2,5,5,6,6,6,6,6,7,7,8,9,9,10,10,10,10,10,10,10
2,Alajuela,202,San Ramon,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,4,6,7,7,7,8
6,Puntarenas,611,Garabito,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,5,7,7,7,7,7,7,7,7
2,Alajuela,209,Orotina,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,5,5,5,5,5,6,6,7,7
4,Heredia,405,San Rafael,0,0,0,0,0,0,1,2,2,2,2,2,3,5,5,5,6,6,6,6,6,6,6,7,7
1,San Jose,110,Alajuelita,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,4,4,4,6
1,San Jose,106,Aserri,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,6
4,Heredia,402,Barva,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,6,6,6,6,6,6
2,Alajuela,208,Poas,1,1,1,2,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,6
1,San Jose,111,Vazquez de Coronado,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,4,5,5,5,5,5,6
3,Cartago,308,El Guarco,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,5,5,5,5,5,5
4,Heredia,403,Santo Domingo,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,5,5,5,5,5,5,5
1,San Jose,107,Mora,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,4
2,Alajuela,206,Naranjo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,4,4,4,4,4
5,Guanacaste,502,Nicoya,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
3,Cartago,307,Oreamuno,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,4,4,4,4,4,4,4
6,Puntarenas,601,Puntarenas,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,3,3,3,4,4,4,4,4,4,4
2,Alajuela,212,Sarchi,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,3,3,3,4,4,4,4,4,4
1,San Jose,119,Perez Zeledon,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,Heredia,404,Santa Barbara,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
5,Guanacaste,503,Santa Cruz,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
1,San Jose,105,Tarrazu,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,3
2,Alajuela,205,Atenas,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,Heredia,407,Belen,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
5,Guanacaste,505,Carrillo,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2
6,Puntarenas,608,Coto Brus,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,Puntarenas,602,Esparza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2
3,Cartago,304,Jimenez,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
